,State,City,Pop,PCI,P total,price,rating,review,Total,Price perc
586,mo,lewis,515,33665,16,1.875,3.9375,14.4375,74.0,0.21621621621621623
587,mo,lincoln,1191,34561,5,1.6,3.2,3.6,10.0,0.5
588,mo,linn,1607,36069,47,1.7659574468085106,3.393617021276596,13.914893617021276,170.0,0.27647058823529413
589,mo,macon,5355,35456,2,2.0,4.25,6.5,5.0,0.4
590,mo,madison,541,33844,6,1.6666666666666667,3.5833333333333335,4.833333333333333,15.0,0.4
591,mo,holt,475,46764,7,1.8571428571428572,2.9285714285714284,6.714285714285714,11.0,0.6363636363636364
592,ms,madison,25676,58444,17,1.8823529411764706,2.8529411764705883,19.58823529411765,22.0,0.7727272727272727
593,ms,george,277,31656,82,1.8170731707317074,3.1402439024390243,17.646341463414632,308.0,0.2662337662337662
594,ms,grenada,12466,31056,8,1.875,2.6875,5.5,10.0,0.8
595,ms,jackson,164422,34845,33,1.9696969696969697,3.121212121212121,23.575757575757574,112.0,0.29464285714285715
596,ms,coahoma,329,30204,4,1.5,3.125,13.25,8.0,0.5
597,ms,marion,1479,29193,19,1.7894736842105263,3.526315789473684,15.31578947368421,28.0,0.6785714285714286
598,ms,jones,1121,37554,12,1.75,3.4583333333333335,8.5,63.0,0.19047619047619047
599,ms,pontotoc,6144,29277,13,1.9230769230769231,3.769230769230769,16.53846153846154,33.0,0.3939393939393939
600,ms,newton,3223,33198,4,2.0,3.0,6.5,7.0,0.5714285714285714
601,ms,tishomingo,331,29121,6,1.8333333333333333,3.5833333333333335,7.5,10.0,0.6
602,ms,tunica,916,30581,25,1.64,2.84,21.28,78.0,0.32051282051282054
603,ms,union,1924,29254,18,1.9444444444444444,3.3333333333333335,12.333333333333334,62.0,0.2903225806451613
604,ms,sunflower,1007,26883,9,1.6666666666666667,2.111111111111111,4.777777777777778,15.0,0.6
605,ms,quitman,2111,24420,19,1.8421052631578947,3.6842105263157894,13.052631578947368,73.0,0.2602739726027397
606,ms,prentiss,952,27723,28,1.7142857142857142,3.3035714285714284,9.392857142857142,120.0,0.23333333333333334
607,mt,deer lodge,2916,34245,27,1.7407407407407407,3.574074074074074,15.037037037037036,77.0,0.35064935064935066
608,mt,missoula,74428,40858,17,1.8235294117647058,3.764705882352941,36.1764705882353,55.0,0.3090909090909091
