State,City,Pop,PCI,price,rating,review,Price perc
in,delaware,3475,32666,3.066666666666667,3.7333333333333334,14.8,0.032119914346895075
in,jennings,1416,34177,3.0,4.0,6.0,0.013513513513513514
in,johnson,499,42691,3.3333333333333335,3.6666666666666665,15.666666666666666,0.03409090909090909
in,posey,3931,45646,3.3333333333333335,3.6666666666666665,15.666666666666666,0.039473684210526314
in,cass,338,34954,3.0,3.25,17.5,0.0196078431372549
in,miami,1273,31354,3.0952380952380953,4.095238095238095,56.0,0.0075
in,jackson,532,38888,3.1666666666666665,3.75,18.583333333333332,0.03488372093023256
in,noble,1915,34625,3.4285714285714284,4.142857142857143,14.714285714285714,0.02880658436213992
in,lake,2433,38485,3.25,3.875,27.0,0.027777777777777776
in,perry,30956,33711,3.5,3.625,9.75,0.034482758620689655
in,clay,3540,33864,3.0,4.045454545454546,20.727272727272727,0.013414634146341463
in,harrison,4132,37177,3.0,4.75,7.5,0.08333333333333333
in,st. joseph,75633,41274,3.25,3.3333333333333335,11.083333333333334,0.045283018867924525
in,ohio,1930,35220,3.111111111111111,3.611111111111111,41.666666666666664,0.04186046511627907
in,tippecanoe,2357,34210,3.0588235294117645,3.4411764705882355,24.764705882352942,0.03008849557522124
in,boone,1446,62698,3.1333333333333333,4.1,22.266666666666666,0.015544041450777202
ks,lyon,523,33378,4.0,3.0,15.0,0.01818181818181818
ks,harvey,92,38197,3.0,4.142857142857143,12.857142857142858,0.03571428571428571
ks,neosho,263,35565,3.5,4.25,7.5,0.08
ks,pottawatomie,197,48438,3.25,3.25,10.25,0.047058823529411764
ks,crawford,590,33475,3.3333333333333335,3.1666666666666665,7.0,0.07142857142857142
ks,franklin,347,37003,3.25,3.625,8.25,0.09302325581395349
ks,clay,70,39251,3.0,3.5,12.0,0.019230769230769232
ks,scott,2265,67443,3.3333333333333335,3.6666666666666665,6.0,0.375
ks,grant,50,51243,3.5,3.0,2.0,0.16666666666666666
ks,sherman,537,36625,3.5,3.5,9.0,0.045454545454545456
ks,jefferson,614,38324,3.2142857142857144,4.178571428571429,18.571428571428573,0.01707317073170732
ks,douglas,108,37883,3.0,4.333333333333333,14.333333333333334,0.043795620437956206
ks,wabaunsee,521,45431,3.25,3.125,13.25,0.045454545454545456
ks,morris,24,39588,3.0,3.5,10.5,0.037037037037037035
ks,morton,439,38439,3.0,1.0,1.0,0.25
ks,sumner,157,36574,3.142857142857143,3.857142857142857,17.0,0.037037037037037035
ks,miami,545,41823,3.230769230769231,4.269230769230769,16.53846153846154,0.015098722415795587
ks,stanton,182,55496,3.1666666666666665,4.138888888888889,22.0,0.0200445434298441
ks,reno,1506,36148,3.0,4.333333333333333,11.0,0.02654867256637168
ks,haskell,1950,74156,3.5,3.0,2.0,0.16666666666666666
ks,nemaha,153,50505,3.0,3.5,10.5,0.05128205128205128
ks,osage,242,36926,3.3333333333333335,3.6666666666666665,9.0,0.022727272727272728
ks,labette,72,37052,3.5,3.5,9.0,0.03278688524590164
ks,kiowa,941,31897,3.0,3.5,6.0,0.5
ks,kingman,2906,41913,3.0,4.0,9.0,0.011235955056179775
ks,allen,174,36328,3.3333333333333335,3.3333333333333335,12.0,0.03409090909090909
ks,harper,1333,44958,3.0,4.083333333333333,15.333333333333334,0.036585365853658534
ks,cherokee,709,32957,3.5,3.5,9.0,0.046511627906976744
ks,atchison,10560,33996,3.0,4.0,4.0,0.024390243902439025
ks,greeley,296,49392,3.090909090909091,4.2272727272727275,18.727272727272727,0.01967799642218247
ks,linn,385,32225,3.0,3.5,10.5,0.05405405405405406
ks,jackson,451,36827,3.6,3.4,7.4,0.03333333333333333
ks,washington,1062,43948,3.0,3.5,10.5,0.09090909090909091
ks,wichita,389255,83074,3.0,4.071428571428571,12.571428571428571,0.04
ks,shawnee,65845,41498,3.1,4.0,20.7,0.017452006980802792
ks,riley,954,38338,3.0,3.5,10.5,0.046511627906976744
ks,meade,1565,55983,3.0,5.0,2.0,0.1
ks,marion,1787,36386,3.0,4.1,18.6,0.054945054945054944
ks,ottawa,12267,36310,3.3333333333333335,4.0,21.75,0.015170670037926675
ky,hickman,2156,44746,3.0,2.0,22.0,0.05
ky,union,5930,33296,3.0,4.0,29.0,0.010526315789473684
ky,martin,560,25670,3.0,2.5,7.0,0.125
ky,marion,2872,31651,3.0,3.5,4.0,0.014492753623188406
ky,jefferson,27997,44719,3.0,4.1,29.0,0.019569471624266144
ky,jackson,1979,26195,3.0,2.5,7.0,0.07692307692307693
ky,henderson,28432,36154,3.0,4.5,27.0,0.017241379310344827
ky,hardin,610,38575,3.0,2.0,22.0,0.05263157894736842
ky,franklin,8969,38667,3.0714285714285716,3.9285714285714284,19.642857142857142,0.021439509954058193
ky,cumberland,1967,30581,3.0,2.5,7.0,0.16666666666666666
ky,crittenden,3899,33019,3.0,3.75,18.25,0.023255813953488372
ky,allen,176,28593,3.0,2.5,7.0,0.125
ky,harlan,1531,27778,3.0,4.75,6.5,0.06666666666666667
ky,clay,1117,27255,3.0,3.6666666666666665,12.333333333333334,0.03225806451612903
ky,carlisle,1959,42485,3.3333333333333335,4.333333333333333,5.333333333333333,0.13043478260869565
la,washington,929,30972,3.0,4.4,12.8,0.02358490566037736
la,lafayette,126143,53215,3.0,3.75,10.0,0.0273972602739726
la,livingston,1955,37337,3.0454545454545454,4.090909090909091,16.454545454545453,0.023404255319148935
la,jackson,3725,32037,3.0,4.75,3.5,0.06896551724137931
la,natchitoches,17831,33525,3.0,5.0,4.0,0.03125
ma,plymouth,60803,56571,3.5,3.875,54.75,0.03636363636363636
ma,norfolk,11988,77194,3.0,4.2,12.8,0.04672897196261682
ma,hampden,5220,44760,3.0,3.5,10.857142857142858,0.0472972972972973
ma,worcester,185877,49121,3.1333333333333333,3.6666666666666665,22.266666666666666,0.050505050505050504
ma,nantucket,11327,106895,3.25,3.625,10.25,0.3076923076923077
md,baltimore,602495,53832,3.0952380952380953,4.166666666666667,33.333333333333336,0.028037383177570093
md,charles,1195,50620,3.2,3.875,67.05,0.004651162790697674
md,frederick,72146,53601,3.25,4.5,19.25,0.026845637583892617
md,somerset,1280,29709,3.0,4.1,55.4,0.16129032258064516
me,york,13151,44437,3.0,3.875,10.75,0.037037037037037035
me,cumberland,8165,51659,3.111111111111111,3.9444444444444446,28.11111111111111,0.03260869565217391
me,franklin,1547,35108,3.0,5.0,1.0,0.125
me,penobscot,1211,36425,3.0,4.5,5.0,0.024390243902439025
me,hancock,2415,44349,3.0,3.5,4.333333333333333,0.13636363636363635
me,lincoln,4908,44159,3.0,3.0,2.0,0.02564102564102564
me,knox,792,42538,3.0,3.75,3.0,0.017543859649122806
me,waldo,860,36097,3.0,3.8333333333333335,4.333333333333333,0.02459016393442623
me,washington,1512,35752,3.0,4.666666666666667,5.0,0.01875
mi,macomb,90758,40077,3.0,4.15,15.5,0.02967359050445104
mi,isabella,2249,31088,3.0,3.5,7.4,0.06097560975609756
mi,ingham,2524,35503,3.090909090909091,4.454545454545454,13.636363636363637,0.017628205128205128
mi,schoolcraft,1798,34505,3.0,4.0,18.666666666666668,0.05172413793103448
mi,osceola,1841,31532,3.0,4.5,4.0,0.027777777777777776
mi,eaton,4132,36492,3.1333333333333333,3.966666666666667,10.533333333333333,0.029644268774703556
mi,montcalm,3400,29737,3.1333333333333333,3.933333333333333,10.333333333333334,0.03416856492027335
mi,livingston,2585,47921,3.210526315789474,4.2368421052631575,14.947368421052632,0.01
mi,sanilac,2311,32829,4.0,5.0,1.0,0.019230769230769232
mi,antrim,2095,39601,3.0,3.6666666666666665,9.666666666666666,0.02608695652173913
mi,shiawassee,2734,33682,3.0588235294117645,3.823529411764706,6.764705882352941,0.02028639618138425
mi,tuscola,1948,32892,3.25,3.5625,7.25,0.06153846153846154
mi,chippewa,211,29311,3.0,3.875,7.75,0.3076923076923077
