,State,City,Pop,DataValue
1489,NE,Lincoln,287401,"46,012"
1495,NE,Madison,2381,"44,682"
1497,NE,Pierce,1726,"55,980"
1498,NE,Seward,7220,"45,424"
1499,NE,Stanton,1511,"42,472"
1501,NE,Valley,2845,"42,877"
1503,NE,Wayne,5622,"42,017"
1505,NE,York,7866,"45,992"
1506,NE,Blaine,193,"76,590"
1509,NE,Logan,71,"52,193"
1518,NE,Platte,165,"45,694"
1520,NE,Richardson,401,"45,607"
1521,NE,Sheridan,81,"48,447"
1523,NE,Cuming,233,"76,262"
1525,NE,Garfield,225,"49,578"
1527,NE,Sherman,530,"42,473"
1531,NE,Custer,103,"50,971"
1532,NE,Hayes,27,"67,864"
1534,NE,Loup,130,"63,956"
1537,NE,Hooker,210,"62,747"
1539,NE,Webster,868,"46,771"
1540,NE,Hamilton,118,"49,510"
1541,NE,Antelope,205,"53,502"
1543,NE,Washington,117,"50,337"
1545,NE,Adams,912,"45,289"
1546,NE,Holt,439,"54,408"
1547,NE,Nemaha,567,"46,991"
1548,NE,Jefferson,112,"47,692"
1549,NE,Cedar,61,"55,188"
1550,NE,Butler,619,"45,842"
1551,NE,Douglas,202,"57,890"
1552,NE,Dawes,352,"36,465"
1553,NE,Thayer,130,"52,541"
1554,NV,Carson City,55414,"42,537"
1555,NV,Elko,20341,"42,169"
1556,NH,Sullivan,675,"45,755"
1557,NH,Carroll,742,"50,020"
1558,NH,Grafton,1336,"52,320"
1559,NH,Hillsborough,5992,"53,343"
1560,NH,Merrimack,25969,"51,831"
1561,NH,Strafford,4186,"43,174"
1562,NJ,Burlington,9884,"53,760"
1564,NJ,Camden,73973,"46,905"
1565,NJ,Cape May,3448,"51,473"
1566,NJ,Morris,19145,"84,260"
1568,NJ,Passaic,69948,"45,746"
1569,NJ,Salem,4747,"43,087"
1570,NJ,Gloucester,63884,"47,392"
1571,NJ,Union,5525,"59,230"
1573,NJ,Ocean,26708,"44,949"
1575,NJ,Warren,15745,"49,188"
1576,NM,Bernalillo,10105,"38,593"
1577,NM,Santa Fe,84612,"50,557"
1578,NM,Socorro,8407,"31,804"
1579,NM,Taos,5971,"33,342"
1580,NY,Albany,97279,"53,791"
1581,NY,Cortland,18713,"35,030"
1582,NY,Fulton,11243,"36,869"
1584,NY,New York,8398748,"151,128"
1590,NY,Oneida,10912,"38,764"
1591,NY,Oswego,17337,"34,968"
1593,NY,Rensselaer,9212,"42,725"
1594,NY,Schenectady,65575,"45,851"
1595,NY,Genesee,1608,"39,185"
1596,NY,Chenango,10596,"36,583"
1597,NY,Allegany,7597,"31,518"
1598,NY,Chautauqua,4256,"36,101"
1599,NY,Chemung,2462,"39,502"
1600,NY,Greene,5084,"41,786"
1601,NY,Clinton,710,"38,463"
1603,NY,Livingston,3473,"36,686"
1604,NY,Franklin,2257,"33,508"
1606,NY,Tompkins,1148,"39,067"
1607,NY,Washington,4613,"35,304"
1608,NY,Essex,636,"39,500"
1609,NY,Lewis,1306,"41,061"
1611,NY,Columbia,1517,"48,801"
1612,NY,Herkimer,9677,"36,386"
1613,NY,Schuyler,3329,"38,118"
1614,NY,Warren,1094,"45,095"
1615,NY,Orleans,2731,"34,128"
1616,NY,Hamilton,6443,"46,724"
1617,NY,Madison,2900,"38,109"
1618,NY,Sullivan,15149,"38,880"
1619,NY,Niagara,8005,"39,110"
1620,NY,Steuben,1127,"39,559"
1621,NY,Onondaga,22554,"45,252"
1622,NY,Richmond,3246,"48,150"
1623,NY,Seneca,2683,"34,271"
1624,NY,Monroe,19791,"45,897"
1625,NY,Montgomery,24022,"36,597"
1626,NY,Yates,2419,"35,437"
1627,NY,Otsego,3717,"37,645"
1628,NY,Nassau,4783,"75,376"
1629,NY,Orange,50092,"45,306"
1631,NY,Saratoga,5725,"55,809"
1632,NY,Broome,989,"38,276"
