State,City,Pop,PCI,price,rating,review,Price perc
ga,jefferson,11704,28456,1.3375,3.35,37.525,0.2952029520295203
ga,madison,4155,31698,1.5625,3.84375,40.25,0.4444444444444444
ga,mitchell,193,29523,1.173913043478261,3.760869565217391,11.26086956521739,0.22549019607843138
ga,monroe,13573,39206,1.3636363636363635,3.8181818181818183,21.818181818181817,0.16666666666666666
ga,morgan,1846,41424,1.304635761589404,3.4172185430463577,15.105960264900663,0.22604790419161677
ga,oglethorpe,1159,34291,1.1666666666666667,4.083333333333333,5.333333333333333,0.75
ga,pulaski,269,25958,1.375,3.5892857142857144,22.464285714285715,0.25112107623318386
ga,quitman,3703,26489,1.25,4.0,6.0,0.8
ga,screven,761,29505,1.5833333333333333,4.458333333333333,16.0,0.24
ga,washington,4001,31659,1.1666666666666667,3.6666666666666665,4.333333333333333,0.4
ga,white,722,30534,1.295774647887324,3.1338028169014085,34.309859154929576,0.29583333333333334
ga,macon,153095,28018,1.3838383838383839,3.378787878787879,37.09090909090909,0.26541554959785524
ga,oconee,244,55452,1.5135135135135136,3.5405405405405403,43.270270270270274,0.4065934065934066
ga,jasper,3941,32539,1.6470588235294117,4.147058823529412,61.0,0.24285714285714285
ga,newton,579,29625,1.0,2.4,5.1,0.5882352941176471
ga,haralson,193,31520,1.7777777777777777,3.7222222222222223,99.88888888888889,0.3333333333333333
ga,gordon,1882,30915,1.3255813953488371,3.546511627906977,29.947674418604652,0.2388888888888889
ga,forsyth,4117,54651,1.3571428571428572,3.5714285714285716,39.0,0.5185185185185185
ga,douglas,11616,31349,1.6363636363636365,3.909090909090909,17.181818181818183,0.2391304347826087
ga,decatur,25732,31946,1.646551724137931,3.5732758620689653,181.43103448275863,0.33048433048433046
ga,dawson,4102,37402,1.0,3.2857142857142856,10.857142857142858,0.5384615384615384
ga,crawford,832,29600,1.5,2.75,5.5,0.2857142857142857
ga,colquitt,1824,27507,1.5,4.5,14.5,0.4
ga,cobb,346,48253,1.3333333333333333,3.466666666666667,25.573333333333334,0.3024193548387097
ga,clayton,2183,25550,1.6,4.1,79.53333333333333,0.4166666666666667
ga,calhoun,16966,21655,1.3076923076923077,4.230769230769231,35.07692307692308,0.18055555555555555
ga,brooks,555,31146,1.439252336448598,3.3130841121495327,47.47663551401869,0.3039772727272727
ga,bartow,256,33267,1.5,3.3181818181818183,47.68181818181818,0.29931972789115646
ga,baldwin,3384,29192,1.5384615384615385,3.8846153846153846,37.23076923076923,0.26
