,City,State,2018estimate,2010Census,Change,2016 land area,2016 land area.1
245,Clearwater,Florida,116478,107685,+8.17%,25.9 sq mi,67.1 km2
246,College Station,Texas,116218,93857,+23.82%,51.0 sq mi,132.1 km2
247,West Jordan,Utah,116046,103712,+11.89%,32.3 sq mi,83.7 km2
248,Carlsbad,California,115877,105328,+10.02%,37.7 sq mi,97.6 km2
249,El Monte,California,115586,113475,+1.86%,9.6 sq mi,24.9 km2
250,Murrieta,California,114985,103466,+11.13%,33.6 sq mi,87.0 km2
251,Temecula,California,114742,100097,+14.63%,37.3 sq mi,96.6 km2
252,Springfield,Illinois,114694,116250,−1.34%,60.1 sq mi,155.7 km2
253,Palm Bay,Florida,114194,103190,+10.66%,65.7 sq mi,170.2 km2
254,Costa Mesa,California,113615,109960,+3.32%,15.7 sq mi,40.7 km2
255,Westminster,Colorado,113479,106114,+6.94%,31.7 sq mi,82.1 km2
256,North Charleston,South Carolina,113237,97471,+16.18%,73.7 sq mi,190.9 km2
257,Miami Gardens,Florida,113069,107167,+5.51%,18.2 sq mi,47.1 km2
258,Manchester,New Hampshire,112525,109565,+2.70%,33.1 sq mi,85.7 km2
259,High Point,North Carolina,112316,104371,+7.61%,55.2 sq mi,143.0 km2
260,Downey,California,112269,111772,+0.44%,12.4 sq mi,32.1 km2
261,Clovis,California,112022,95631,+17.14%,24.2 sq mi,62.7 km2
262,Pompano Beach,Florida,111954,99845,+12.13%,24.0 sq mi,62.2 km2
263,Pueblo,Colorado,111750,106595,+4.84%,53.6 sq mi,138.8 km2
264,Elgin,Illinois,111683,108188,+3.23%,37.4 sq mi,96.9 km2
265,Lowell,Massachusetts,111670,106519,+4.84%,13.6 sq mi,35.2 km2
266,Antioch,California,111535,102372,+8.95%,29.4 sq mi,76.1 km2
267,West Palm Beach,Florida,111398,99919,+11.49%,55.1 sq mi,142.7 km2
268,Peoria,Illinois,111388,115007,−3.15%,48.2 sq mi,124.8 km2
