,GeoName,TimePeriod,DataValue
428,"Butts, GA",2014,"28,888"
429,"Calhoun, GA",2014,"21,655"
430,"Camden, GA",2014,"31,796"
431,"Candler, GA",2014,"26,558"
432,"Carroll, GA",2014,"32,905"
433,"Catoosa, GA",2014,"31,427"
434,"Charlton, GA",2014,"21,626"
435,"Chatham, GA",2014,"41,768"
436,"Chattahoochee, GA",2014,"27,539"
437,"Chattooga, GA",2014,"27,249"
438,"Cherokee, GA",2014,"43,012"
439,"Clarke, GA",2014,"29,702"
440,"Clay, GA",2014,"25,723"
441,"Clayton, GA",2014,"25,550"
442,"Clinch, GA",2014,"32,214"
443,"Cobb, GA",2014,"48,253"
444,"Coffee, GA",2014,"27,931"
445,"Colquitt, GA",2014,"27,507"
446,"Columbia, GA",2014,"44,190"
447,"Cook, GA",2014,"28,059"
448,"Coweta, GA",2014,"39,737"
449,"Crawford, GA",2014,"29,600"
450,"Crisp, GA",2014,"27,164"
451,"Dade, GA",2014,"30,131"
452,"Dawson, GA",2014,"37,402"
453,"Decatur, GA",2014,"31,946"
454,"DeKalb, GA",2014,"42,068"
455,"Dodge, GA",2014,"26,896"
456,"Dooly, GA",2014,"21,372"
457,"Dougherty, GA",2014,"32,492"
458,"Douglas, GA",2014,"31,349"
459,"Early, GA",2014,"33,328"
460,"Echols, GA",2014,"24,133"
461,"Effingham, GA",2014,"36,496"
462,"Elbert, GA",2014,"31,197"
463,"Emanuel, GA",2014,"28,466"
464,"Evans, GA",2014,"31,383"
465,"Fannin, GA",2014,"29,936"
466,"Fayette, GA",2014,"53,089"
467,"Floyd, GA",2014,"34,030"
468,"Forsyth, GA",2014,"54,651"
469,"Franklin, GA",2014,"32,534"
470,"Fulton, GA",2014,"70,982"
471,"Gilmer, GA",2014,"31,424"
472,"Glascock, GA",2014,"29,981"
473,"Glynn, GA",2014,"39,401"
474,"Gordon, GA",2014,"30,915"
475,"Grady, GA",2014,"29,485"
476,"Greene, GA",2014,"44,979"
477,"Gwinnett, GA",2014,"36,538"
478,"Habersham, GA",2014,"30,480"
479,"Hall, GA",2014,"36,149"
480,"Hancock, GA",2014,"25,484"
481,"Haralson, GA",2014,"31,520"
482,"Harris, GA",2014,"41,614"
483,"Hart, GA",2014,"32,830"
484,"Heard, GA",2014,"27,821"
485,"Henry, GA",2014,"34,076"
486,"Houston, GA",2014,"38,193"
487,"Irwin, GA",2014,"27,324"
488,"Jackson, GA",2014,"34,627"
489,"Jasper, GA",2014,"32,539"
